### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
L27           SK6812MINI_LED      YS-SK6812MINI-E               -81.4500   -19.4338   -78.9500   -18.6838      0.0    top       THD
SW37          SW_Push             CherryMX_Hotswap              -282.8250  201.8250   -289.9100  204.3650      0.0    top       THD
L43           SK6812MINI_LED      YS-SK6812MINI-E               -89.8900   -20.5738   -87.3900   -19.8238      0.0    top       THD
L1            SK6812MINI_LED      YS-SK6812MINI-E               43.3400    103.5762   45.8400    104.3262      0.0    top       THD
ENC6          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -26.1000   72.7312    0.0000     0.0000        0.0    top       THD
SW60          SW_Push             CherryMX_Hotswap              -383.8250  202.9250   -390.9100  205.4650      0.0    top       THD
SW46          SW_Push             CherryMX_Hotswap              -180.0250  72.7250    -187.1100  75.2650       0.0    top       THD
L15           SK6812MINI_LED      YS-SK6812MINI-E               -22.4900   47.7962    -19.9900   48.5462       0.0    top       THD
SW16          SW_Push             CherryMX_Hotswap              -196.6250  201.9250   -203.7100  204.4650      0.0    top       THD
SW20          SW_Push             CherryMX_Hotswap              -309.8250  90.8250    -316.9100  93.3650       0.0    top       THD
U1            Elite-C             Elite-C                       165.6430   -45.3250   151.6730   -52.9450      0.0    top       THD
SW45          SW_Push             CherryMX_Hotswap              -196.6250  181.7250   -203.7100  184.2650      0.0    top       THD
L2            SK6812MINI_LED      YS-SK6812MINI-E               -98.6400   -28.5038   -96.1400   -27.7538      0.0    top       THD
SW7           SW_Push             CherryMX_Hotswap              -289.6250  70.6250    -296.7100  73.1650       0.0    top       THD
SW6           SW_Push             CherryMX_Hotswap              -370.4250  112.0250   -377.5100  114.5650      0.0    top       THD
L30           SK6812MINI_LED      YS-SK6812MINI-E               26.0600    97.6462    28.5600    98.3962       0.0    top       THD
L55           SK6812MINI_LED      YS-SK6812MINI-E               -22.4900   43.1362    -19.9900   43.8862       0.0    top       THD
L9            SK6812MINI_LED      YS-SK6812MINI-E               -94.8500   -39.2138   -92.3500   -38.4638      0.0    top       THD
L5            SK6812MINI_LED      YS-SK6812MINI-E               -62.8900   1.4362     -60.3900   2.1862        0.0    top       THD
L28           SK6812MINI_LED      YS-SK6812MINI-E               -42.6900   21.6362    -40.1900   22.3862       0.0    top       THD
L46           SK6812MINI_LED      YS-SK6812MINI-E               4.5000     63.3362    7.0000     64.0862       0.0    top       THD
SW14          SW_Push             CherryMX_Hotswap              -383.8250  162.5250   -390.9100  165.0650      0.0    top       THD
L33           SK6812MINI_LED      YS-SK6812MINI-E               -42.6900   26.2962    -40.1900   27.0462       0.0    top       THD
