### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D60           1N4148              D3_hybrid_common_hole_conne.. -54.6250   21.1062    -54.6250   21.1062       0.0    top       VIRTUAL
D48           1N4148              D3_hybrid_common_hole_conne.. -54.6250   24.0062    -54.6250   24.0062       0.0    top       VIRTUAL
D59           1N4148              D3_hybrid_common_hole_conne.. -15.8750   62.8062    -15.8750   62.8062       0.0    top       VIRTUAL
H1            MountingHole        spacer_m2                     -56.1850   -1.6338    0.0000     0.0000        0.0    top       VIRTUAL
D5            1N4148              D3_hybrid_common_hole_conne.. -74.8250   12.5062    -74.8250   12.5062       0.0    top       VIRTUAL
HM4           CaseHole            spacer_m2                     58.7950    113.4462   0.0000     0.0000        0.0    top       VIRTUAL
D55           1N4148              D3_hybrid_common_hole_conne.. -37.1250   38.5062    -37.1250   38.5062       0.0    top       VIRTUAL
D57           1N4148              D3_hybrid_common_hole_conne.. -86.2750   -11.2638   -86.2750   -11.2638      0.0    top       VIRTUAL
D25           1N4148              D3_hybrid_common_hole_conne.. -34.4250   42.6062    -34.4250   42.6062       0.0    top       VIRTUAL
D21           1N4148              D3_hybrid_common_hole_conne.. -45.8750   38.5062    -45.8750   38.5062       0.0    top       VIRTUAL
HM19          CaseHole            spacer_m2                     -83.1850   -29.3438   0.0000     0.0000        0.0    top       VIRTUAL
D26           1N4148              D3_hybrid_common_hole_conne.. -101.8250  -24.9938   -101.8250  -24.9938      0.0    top       VIRTUAL
D39           1N4148              D3_hybrid_common_hole_conne.. -66.0750   18.3062    -66.0750   18.3062       0.0    top       VIRTUAL
D44           1N4148              D3_hybrid_common_hole_conne.. -45.8750   32.7062    -45.8750   32.7062       0.0    top       VIRTUAL
D47           1N4148              D3_hybrid_common_hole_conne.. -172.4750  -42.2938   -172.4750  -42.2938      0.0    top       VIRTUAL
HM22          CaseHole            spacer_m2                     -47.4350   7.0662     0.0000     0.0000        0.0    top       VIRTUAL
D52           1N4148              D3_hybrid_common_hole_conne.. -45.8750   29.8062    -45.8750   29.8062       0.0    top       VIRTUAL
D27           1N4148              D3_hybrid_common_hole_conne.. -54.6250   29.8062    -54.6250   29.8062       0.0    top       VIRTUAL
HM23          CaseHole            spacer_m2                     31.4050    83.0762    0.0000     0.0000        0.0    top       VIRTUAL
D28           1N4148              D3_hybrid_common_hole_conne.. -74.8250   15.4062    -74.8250   15.4062       0.0    top       VIRTUAL
## End
